Course ID,University,Programme,Degree,Teaching language,Languages,Programme duration,Beginning,Tuition fees per semester in EUR,Description/content,Academic admission requirements,City,Duration_in_semesters,Contribution per semester,Total contribution,Master,Bachelor,PhD,Duration_in_semesters_extracted,admission_strictness
4000,Friedrich Schiller University Jena,Master of Science in Molecular Medicine MSc Molecular Medicine,Master of Science in Molecular Medicine,english,Courses are held in English.,4 semesters,Winter semester,0,"the msc course in molecular medicine conveys basic and advanced insights into the molecular basis of disease. the imparted knowledge and practical training should enable students to conduct biomedical research and medical biotechnology. to impart skills of experimental methods in biomedicine, the course offers comprehensive laboratory exercises. the curriculum responds to increasing demands of research institutions in molecular biomedicine. scientists with pronounced knowledge in medicine and natural sciences are sought to fulfil these demands. profound knowledge in molecular medicine will be provided in the modules molecular pathology, molecular pharmacology, human genetics, clinical chemistry/molecular diagnostics and medical biometry. for the advanced students in the second year, the course covers recent research achievements in molecular pathology and molecular pharmacology. the module molecular pathology provides basic knowledge about causes and treatments of main disease entities including cancer, cardiovascular, inflammatory, and neurological diseases. different types of cell and tissue damage, and their histological correlates will be demonstrated with microscopic and macroscopic preparations. the module molecular pharmacology offers basic knowledge of common pharmacology and toxicology. the complex interactions between agents and their pharmacological targets in the human body will be explained. the module combines medical-pharmacological efficacy patterns of these agents with their molecular, cellular, and organ specific effects and functions. the module clinical chemistry/molecular diagnostics presents various topics of laboratory medicine and diagnostics, principles of frequently used clinical biochemical and molecular biological methods as well as instruments of diagnostic analysis, principles of step-by-step diagnostics for early diagnosis, course of disease, and therapy control. this includes a review of diagnostically relevant metabolic products and substrates, methods of point-of-care diagnostics, enzyme activity determination, diagnostic procedures in hemostaseology, and procedures for drug monitoring and diagnostic molecular biology. the module medical biometry explains the basics, fundamental terms and prerequisites for biomedical data analysis. in small groups students will be taught to use the statistical software package spss. the course includes basics of probability calculation, epidemiology, descriptive statistics, diagnostic tests, random variables, and selected distributions as well as concluding statistics (estimation procedures, significance tests, multiple test procedures, etc.).","bachelor's degree in biochemistry/molecular biology or in a relevant/comparable discipline such as natural science, life science, or medicine",Jena,4,230,920,1,0,0,4,Moderate
4001,University of Augsburg,Master of Science in Software Engineering Master of Science in Software Engineering,Master of Science in Software Engineering,english,The courses are in English unless all students speak and understand German. Participants can choose to write the Master's thesis in either language.,4 semesters,Winter semester,0,"our programme offers basic and advanced lectures covering the broad range of software engineering disciplines: software engineering: software processes, requirements engineering, project management, testing, model-based development formal methods: formal specification and verification techniques, programme correctness databases: relational and oo-databases, database implementation, web-scale databases distributed systems: software engineering for distributed systems, semantic web, service-oriented architecture human-computer interaction: user interface design, usability engineering, context-aware systems ai-based systems: machine learning, data science, self-organisation and -adaptivity",bachelor's degree (or equivalent) in computer science or a closely related field outstanding grades from previous courses and personal dedication which transcends the compulsory programme in a normal study course,Augsburg,4,115,460,1,0,0,4,Moderate
4002,Philipps-Universität Marburg,German as a Foreign Language (MA) German as a Foreign Language (MA),Master of Arts,german,German in courses and for the Master's thesis,4 semesters,Winter semester,0,"didactics of german language, literature, and civilisation principles of teaching languages and learning languages, including methods and outcomes of recent research in the field of second language acquisition, teaching and learning of german as a foreign language there are three main disciplines: description of the german language (pronunciation, grammar, vocabulary, forms of interaction) with special focus on difficult phenomena in second language acquisition and learning description and application of teaching methods description and application of empirical research methods about second language acquisition and learning",bachelor's degree in german with 12 ects in german literature / translation science and 12 ects in german linguistics candidates who are formally qualified are asked to send a letter of application. https://www.uni-marburg.de/de/fb09/igs/arbeitsgruppen/ag-daf/studium-zertifikatskurse/ma-daf/voraussetzungen,Marburg,4,335,1340,1,0,0,4,Moderate
4003,University of Stuttgart,Graduate School Simulation Technology (GS SimTech) Graduate School Simulation Technology (GS SimTech),PhD,german english,"English about 60%, German about 40%",6 semesters,Only for doctoral programmes: any time,1,"in the 21st century's societies, simulation technology is indispensable for the solution of complex problems in science and engineering as well as in medicine and social life. this has led to a broad variety of applications with enormous economic and scientific impact. recent progress in modelling and simulation techniques, as well as in the design of hardware components, has raised the expectations in science and industry regarding the future of simulation tools. simulation, as interaction with the real and virtual world, poses challenges which require simulation technology to advance to a new level. contemporary strategies of isolated tools from different disciplines, theories and discretisation methods will be merged into a new class of integrated simulation environment supporting all aspects from models to interactive systems. this vision can only be achieved by crossing disciplinary boundaries within academia in order to develop a new quality in the interdisciplinary future-oriented field of simulation technology. to reach this goal, we want to increase the scientific understanding of the underlying processes and improve the modelling strategies in the various disciplines of natural sciences and engineering. at the same time, we plan to enhance the discretisation concepts and augment the numerical algorithms, the data management and the analysis and visualisation tools, while constantly improving the performance and the reliability of future simulation systems. establishing integrative prediction methods and solutions for future challenges, we concentrate on methodical research areas ranging from molecular dynamics and advanced mechanics via computational mathematics and systems analysis to data management and interactive visualisation as well as to hybrid high-performance computing systems and simulation software engineering. an integrative platform ensures reflection and evaluation. through the transfer of scientific results to application, we will further contribute to the economic benefit of our society.","a university degree is mandatory. (a ""diplom"" or master's degree is required. in exceptional cases, a bachelor's degree may be accepted.) qualifying exam (if necessary)",Stuttgart,6,180,1074,0,0,1,6,Lenient
4004,University of Cologne,Bonn-Cologne Graduate School of Physics and Astronomy: PhD in Physics (Cologne) Bonn-Cologne Graduate School: PhD in Physics (Cologne),Doctoral Degree in Physics,english,The entire programme is taught in English.,6 semesters,Only for doctoral programmes: any time,0,"the bonn-cologne graduate school of physics and astronomy is a joint programme of graduate studies between the universities of bonn and cologne that has been funded through the excellence initiative from 2007 to 2019. the phd programme involves three years of research-oriented thesis work, leading to a doctoral degree in physics. scientific interests are centred on activities in nuclear physics, condensed matter physics and solid state theory, statistical and biological physics, mathematical physics, gravitation, and astrophysics.","german ""diplom"" or master of science in physics with a bachelor's degree or equivalent in physics, you also can join the bcgs for a master's course of study, and subsequently for a phd programme.",Cologne,6,290,1740,0,0,1,6,Lenient
4005,Friedrich Schiller University Jena,Jena School for Microbial Communication (JSMC) Jena School for Microbial Communication (JSMC),PhD,english,"The primary working language at the JSMC is English. German is provided as an optional foreign language course to international students. Certain courses of the Friedrich Schiller University Graduate Academy are currently only offered in German, but we endeavour to provide them in English if there is sufficient demand.",7 semesters,Only for doctoral programmes: any time,0,"the communication between microorganisms affects all aspects of life on earth. our interdisciplinary programme comprehensively covers microbial communication in all its facets and from various angles, from health to environment and from biology to optical technologies and bioinformatics. sixteen institutes within five faculties of the friedrich schiller university jena, six non-university research institutions, and twelve partner companies participate in the research and phd training programme of the graduate school of excellence ""jena school for microbial communication"" (jsmc). ecological, chemical, physical, geological, pharmaceutical, medical, and biotechnological aspects of microbial communication are all investigated. new technologies are being developed at the jsmc. the obtained data is analysed with bioinformatics tools providing the basis for systems-biological models for an understanding of interactive networks in multi-partner and multi-level consortia. continuous exchange of knowledge with the industrial partners facilitates a swift transfer of research results to applications as diverse as biotechnology, medicine and environmental protection. the extensive scientific network of the jsmc provides a platform for a state-of-the-art doctoral training at the intersection between basic research and industrial application.  subsequent to completing the programme, support is offered in seeking an initial post following the doctorate. the concept of the jsmc was awarded funding by the excellence initiative of the german federal government and the state governments in october 2007. after a positive evaluation of the jsmc in this highly competitive programme, the funding for the graduate school was extended in 2012. starting in 2019, the jsmc is being funded by the carl zeiss foundation.","recruitment and selection of local and international doctoral researchers for the jsmc is based on previous study achievements. the students recruited should hold a master's degree (or equivalent) in a discipline of the natural sciences or life sciences. the best bachelor's students of each year (top 5%) can apply for direct admission to the phd programme with one year of qualification instead of the usually required master's degree. within the jsmc recruitment calls, phd projects in various scientific disciplines are offered. applicants can rank up to three projects of interest. the applicants' qualifications should match the requirements of the respective phd projects they apply for (detailed descriptions of the projects offered within a jsmc recruitment call are published at http://www.jsmc.uni-jena.de when a call is launched).",Jena,7,250,1750,0,0,1,7,Strict
4006,Ruhr-Universität Bochum,PhD in International Development Studies PhD in International Development Studies,Philosophiae doctor (PhD),english,English 100%,6 semesters,Winter semester,0,"the institute of development research and development policy (iee) at the ruhr-universität bochum (rub), germany, offers an international and interdisciplinary three-year phd programme in international development studies (ids). the programme is taught entirely in english. the phd ids is embedded within the framework of the rub research school, a winner of the german excellence initiative. it is offered by the iee in cooperation with the faculties of geography, law, social science, and economics and targets excellent young academics from all over the world who aspire to advance their academic career in international development studies and have a strong interest in cross-disciplinary work. annually around six to eight candidates are admitted to the programme. participants can choose from a variety of tailor-made courses while at the same time working on their own research projects. a supervisor is assigned to each research project. all supervisors hold professorial posts in the faculties involved. teaching modules deal with developmental issues from a multidisciplinary perspective such as development economics, political institutions, conflict and democracy, or economics and culture. these seminars are complemented by courses on research methods and statistical analysis. individual research projects are presented and discussed on a regular basis by the phd candidates and their supervisors in the framework of the meetings of the iee research clusters. courses on generic skills, offered by the rub research school for doctoral candidates from all disciplines, aim at the training of key competences and include seminars on scientific writing, scientific presentation, and professional (scientific) communication.","above-average advanced degree in human geography, law, social or political science, economics, development management or related subjects: qualified university degree (master's or equivalent) with an overall grade equivalent to 2.7 (fully satisfactory) in the german grading system after completion of relevant studies with a duration of at least four years, or qualified degree with an overall grade equivalent to 1.3 (very good) in the german grading system after completion of relevant studies with a duration of at least three years plus preparatory studies for the phd of usually three semesters for international degrees, the equivalence will be judged during the application process. candidates who have to follow preparatory studies before admission to the phd in international development studies can be accepted for such preparatory studies at the ruhr-universität bochum. applicants must submit a research proposal (five pages max.). guidelines for writing the research proposal are available for download on the institute's website.",Bochum,6,340,2040,0,0,1,6,Moderate
4007,Technische Universität Berlin,Berlin Mathematical School – PhD Programme Berlin Mathematical School – PhD Programme,Dr rer nat,english,"Courses are held in English. Participants can choose to write the dissertation in English or in German. The BMS offers assistance to those international students with little or no German language skills by covering the costs of one preparatory language course in German as a Foreign Language (Deutsch als Fremdsprache, aka DaF).",6 semesters,Winter semester,0,"the berlin mathematical school (bms) is the joint doctoral programme of the three berlin universities and the graduate school of the cluster of excellence math+. areas of expertise include: differential geometry, global analysis and mathematical physics algebraic and arithmetic geometry, number theory stochastics and mathematical finance discrete mathematics and optimisation geometry, topology and visualisation numerical analysis and scientific computing applied analysis and differential equations mathematics of data science","bachelor's degree (or equivalent) in mathematics (or equivalent) for phase i , master's degree (or equivalent) in mathematics (or equivalent) for phase ii application information first, download our bms phd application guidelines and read them thoroughly before beginning the online application process.",Berlin,6,315,1890,0,0,1,6,Lenient
4008,FH Aachen University of Applied Sciences,Bachelor of Engineering in Biomedical Engineering Bachelor of Engineering in Biomedical Engineering,Bachelor of Engineering in Biomedical Engineering,german,The course of study is conducted in German. A technical German course is required for international students during the first two semesters.,6 semesters,Winter semester,0,"the degree programme has a strong focus on applied engineering with practical experience. students are required to complete an internship before their studies in order to obtain practical experience in their chosen field. the goal of the ""bachelor of biomedical engineering"" programme is to transfer knowledge from the fields of science and research into clear, technical concepts. subjects taught include: cell-biophysics biomechanics and biomaterials chemical sensors and biosensors cardiovascular engineering medical physics medical informatics our modern, well-equipped labs play a major role in ensuring that students are later able to apply their knowledge to their chosen careers. advanced students plan projects together, work towards a common goal, and then present the results in a written report as well as to the class. students can complete their bachelor's projects in industry or at the nearby jülich research centre ( http://www.fz-juelich.de ) as well as in the university labs. some students choose to continue in a master's programme, such as our english-language ""master of science in biomedical engineering"" or another master's programme offered at our university or another institution. more details about the programme are available on our website: http://www.fh-aachen.de/en/university/ios/ .","german entrance qualification for universities of applied sciences or equivalent ( http://anabin.kmk.org ) eight weeks of the required internship must be completed before enrolment. many international students do not fulfil these requirements, but can qualify through the ""freshman year"" ( http://www.fh-aachen.de/en/university/freshman/ ).",Jülich,6,320,1920,0,1,0,6,Lenient
4009,FH Aachen University of Applied Sciences,Bachelor of Engineering in Mechanical Engineering Bachelor of Engineering in Mechanical Engineering,Bachelor of Engineering in Mechanical Engineering,german,The course of study is conducted in German. A technical German course is required for international students during the first two semesters.,6 semesters,Winter semester,0,"the degree programme has a strong focus on applied engineering with practical experience. students are required to complete an internship before their studies in order to obtain practical experience in their chosen field. areas of specialisation include energy technology, environmental technology, and nuclear technology. the bachelor of mechanical engineering programme is a clearly structured programme covering energy systems, environmental technology, nuclear technology, and other related fields. finding a global solution to the problem of dwindling energy sources is one of the most difficult challenges facing modern society. our graduates seek to be part of this solution! the efficient use of energy, the development of new energy sources, the influence of energy conversion on changes in the environment, and new energy transfer technologies are key issues in determining our future. due to possible future energy shortages and the changing climate, employment opportunities for young engineers include modernisation of power stations as well the renewable energy sector, which includes solar technology, wind, and biomass energy. students will find jobs in increasingly important fields such as combustible fuel cells, energy-saving technologies, and environmental engineering. germany leads the field in the construction of plants that produce electricity as well as heat. our jülich campus offers modern, flexible study programmes with an emphasis on teaching professional competence and a methodical approach. our graduates demonstrate a high degree of flexibility and an outstanding sense of responsibility in their studies and later careers. our modern, well-equipped labs play a major role in ensuring that students are later able to apply their knowledge to their chosen careers. advanced students plan projects together, work towards a common goal, and then present the results in a written report as well as to the class. students can complete their bachelor's projects in industry or at the nearby jülich research centre ( http://www.fz-juelich.de ) as well as in the laboratories of the university. some students choose to continue in a master's programme, such as our english-language master of science in energy systems or master of science in mechatronics or another master's programme offered at our university or another institution. more details about the programme are available on our website: http://www.fh-aachen.de/en/university/ios/ .","german entrance qualification for universities of applied sciences or equivalent ( http://anabin.kmk.org ) eight weeks of the required internship must be completed before enrolment. many international students do not fulfil these requirements, but can qualify through the ""freshman year"" ( http://www.fh-aachen.de/en/university/freshman/ ).",Jülich,6,320,1920,0,1,0,6,Lenient
